Id,MSZoning,LotConfig,BldgType,Exterior1st,MSSubClass,LotArea,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF2,TotalBsmtSF,SalePrice
2437,RL,Inside,1Fam,HdBoard,85,6760,5,1962,1962,0,896,
2470,RM,Inside,1Fam,VinylSd,60,9780,9,1950,2005,398,976,
2359,RL,Inside,1Fam,Plywood,20,6285,5,1977,1977,351,894,
789,RL,Inside,1Fam,HdBoard,60,12205,8,1966,2007,0,832,187500
1642,FV,Inside,1Fam,VinylSd,60,7500,5,2000,2001,0,1058,
196,RL,Inside,1Fam,CemntBd,20,9416,5,2007,2007,0,1726,311872
1543,RM,Inside,1Fam,MetalSd,30,5000,7,1925,1950,0,765,
1270,RL,Inside,1Fam,Plywood,40,23595,6,1979,1979,0,1332,260000
2473,RM,Corner,1Fam,Wd Sdng,50,10320,1,1910,1950,0,771,
2073,RL,Corner,1Fam,HdBoard,20,11355,7,1958,2001,0,1312,
1610,RL,Inside,1Fam,Plywood,20,15300,5,1965,1977,0,1068,
2495,RL,Corner,1Fam,MetalSd,20,12671,7,1954,1994,0,1288,
2740,RL,Corner,1Fam,BrkFace,20,8400,5,1957,1957,0,1179,
1717,RL,Inside,1Fam,VinylSd,20,7500,5,2004,2004,0,1158,
1005,RL,Inside,1Fam,HdBoard,80,8385,8,1977,1977,0,985,149900
256,FV,Inside,1Fam,VinylSd,60,8791,5,2003,2003,0,864,207500
679,RL,Inside,1Fam,Wd Sdng,20,9945,5,1961,1961,0,988,128500
1210,RL,Inside,1Fam,Wd Sdng,60,11218,5,1992,1992,0,1055,189000
565,RL,Corner,1Fam,Wd Sdng,70,6858,4,1915,1950,0,806,128000
1830,RM,Inside,1Fam,Wd Sdng,70,9928,8,1915,1994,0,672,
564,RL,CulDSac,1Fam,HdBoard,60,13346,5,1992,2000,0,1095,268000
495,C (all),Inside,1Fam,Wd Sdng,30,7879,5,1920,1950,0,720,34900
1557,RL,Inside,1Fam,VinylSd,50,6001,5,1940,1950,0,600,
1426,RL,Inside,1Fam,VinylSd,60,10944,5,1994,1994,0,1223,271000
2812,RL,Inside,Duplex,Plywood,90,9662,4,1977,1977,0,1967,
2329,RL,Inside,1Fam,VinylSd,60,9649,5,1999,2000,0,941,
322,RL,Inside,1Fam,Plywood,60,10380,5,1986,1987,1474,1502,301000
1614,RM,Inside,Twnhs,CemntBd,160,1476,7,1970,1970,0,546,
1861,RL,Inside,Duplex,VinylSd,90,11855,5,2000,2000,0,1168,
1068,RM,Inside,TwnhsE,CemntBd,160,3964,4,1973,1973,0,942,151400
1885,RL,Inside,1Fam,HdBoard,20,12782,5,2002,2003,0,1822,
2483,RL,Inside,1Fam,MetalSd,20,8398,5,1967,1967,529,943,
1507,RL,Inside,1Fam,MetalSd,50,18837,5,1978,1978,46,1224,
1146,RL,Inside,1Fam,Wd Sdng,20,11200,5,1985,1985,0,1298,180000
1951,RL,Inside,1Fam,Plywood,20,14450,5,1979,1979,449,1782,
1611,RL,Inside,1Fam,VinylSd,20,10114,5,2004,2005,0,1430,
1286,RL,Inside,1Fam,HdBoard,20,9790,5,1963,1963,81,1328,143000
1898,RL,Inside,1Fam,Stucco,30,8574,8,1916,2000,0,816,
1732,RL,Inside,1Fam,Wd Sdng,20,9079,5,1961,1961,0,864,
535,RL,Inside,2fmCon,MetalSd,190,7000,7,1910,1991,0,1117,107500
2797,RM,Inside,1Fam,MetalSd,50,10320,5,1924,1950,0,596,
2852,RL,Corner,1Fam,VinylSd,60,11250,5,1995,1996,0,930,
141,RL,Inside,1Fam,VinylSd,20,11645,5,2005,2005,0,1734,260000
2424,RL,Inside,1Fam,Wd Sdng,70,21281,4,1935,2007,0,666,
354,RL,Inside,1Fam,Wd Sdng,50,8400,5,1940,2000,0,940,140000
2323,RL,Corner,1Fam,VinylSd,80,11084,5,2004,2004,0,384,
1317,FV,Corner,TwnhsE,VinylSd,120,4230,5,2006,2007,0,1352,208900
859,RL,Corner,1Fam,HdBoard,60,11029,7,1968,1984,0,1054,250000
387,RL,Inside,1Fam,MetalSd,80,7200,6,1976,1976,0,1041,125000
457,RL,CulDSac,1Fam,Plywood,20,53227,6,1954,1994,0,1364,256000
2103,RM,Inside,2fmCon,AsbShng,190,9600,5,1920,1960,0,973,
203,RM,Inside,TwnhsE,VinylSd,120,4438,5,2004,2004,0,848,149000
51,RM,Inside,1Fam,Wd Sdng,50,6240,6,1934,1950,0,816,114500
511,RL,Inside,TwnhsE,VinylSd,120,6792,5,2005,2006,0,1368,202665
2573,RL,CulDSac,1Fam,WdShing,20,18044,5,1986,1986,0,279,
1001,RL,Corner,1Fam,Wd Sdng,30,5400,6,1920,1950,0,691,86000
2242,RM,Inside,TwnhsE,CemntBd,160,2665,7,1976,1976,0,550,
1268,RL,Inside,1Fam,Stucco,50,14100,9,1935,1997,0,728,381000
568,RL,Inside,1Fam,Wd Sdng,50,12327,8,1983,2009,0,1496,316600
594,RL,Inside,1Fam,HdBoard,20,7990,6,1975,1975,0,924,110000
1804,RL,Inside,1Fam,HdBoard,20,7936,6,1963,1963,0,1045,
1963,RM,Inside,Twnhs,HdBoard,160,1680,5,1972,1972,0,630,
